id,municipio,poblacion_total,poblacion_mayores,porcentaje_mayores
0,Total Nacional,47475420,9479010,19.969999999999999
01001,Alegría-Dulantzi,2960,360,12.16
01002,Amurrio,10281,2349,22.850000000000001
01003,Aramaio,1431,342,23.899999999999999
01004,Artziniega,1810,340,18.780000000000001
01006,Armiñón,235,34,14.470000000000001
01008,Arratzua-Ubarrundia,1031,223,21.629999999999999
01009,Asparrena,1637,336,20.530000000000001
01010,Ayala/Aiara,2921,529,18.109999999999999
01011,Baños de Ebro/Mañueta,296,76,25.68
01013,Barrundia,914,190,20.789999999999999
01014,Berantevilla,452,123,27.210000000000001
01016,Bernedo,560,152,27.140000000000001
01017,Campezo/Kanpezu,1094,262,23.949999999999999
01018,Zigoitia,1822,403,22.120000000000001
01019,Kripan,176,44,25
01020,Kuartango,421,108,25.649999999999999
01021,Elburgo/Burgelu,629,100,15.9
01022,Elciego,971,228,23.48
01023,Elvillar/Bilar,316,91,28.800000000000001
01027,Iruraiz-Gauna,537,99,18.440000000000001
01028,Labastida/Bastida,1538,312,20.289999999999999
01030,Lagrán,175,67,38.289999999999999
01031,Laguardia,1483,327,22.050000000000001
01032,Lanciego/Lantziego,724,173,23.899999999999999
01033,Lapuebla de Labarca,870,190,21.84
01034,Leza,217,59,27.190000000000001
01036,Laudio/Llodio,17906,4694,26.210000000000001
01037,Arraia-Maeztu,804,189,23.510000000000002
01039,Moreda de Álava/Moreda Araba,216,54,25
01041,Navaridas,200,45,22.5
01042,Okondo,1187,204,17.190000000000001
01043,Oyón-Oion,3408,560,16.43
01044,Peñacerrada-Urizaharra,310,58,18.710000000000001
01046,Erriberagoitia/Ribera Alta,820,160,19.510000000000002
01047,Erriberabeitia,1416,224,15.82
01049,Añana,156,43,27.559999999999999
01051,Agurain/Salvatierra,5069,901,17.77
01052,Samaniego,311,93,29.899999999999999
01053,San Millán/Donemiliaga,718,180,25.07
01054,Urkabustaiz,1408,212,15.06
01055,Valdegovía/Gaubea,1097,320,29.170000000000002
01056,Harana/Valle de Arana,226,84,37.170000000000002
01057,Villabuena de Álava/Eskuernaga,291,89,30.579999999999998
01058,Legutio,2017,363,18
01059,Vitoria-Gasteiz,253672,55736,21.969999999999999
01060,Yécora/Iekora,247,73,29.550000000000001
01061,Zalduondo,195,34,17.440000000000001
01062,Zambrana,425,101,23.760000000000002
01063,Zuia,2330,467,20.039999999999999
01901,Iruña Oka/Iruña de Oca,3551,449,12.640000000000001
01902,Lantarón,931,240,25.780000000000001
02001,Abengibre,739,247,33.420000000000002
02002,Alatoz,496,179,36.090000000000003
02003,Albacete,172357,29927,17.359999999999999
02004,Albatana,670,207,30.899999999999999
02005,Alborea,663,178,26.850000000000001
02006,Alcadozo,634,197,31.07
02007,Alcalá del Júcar,1148,364,31.710000000000001
02008,Alcaraz,1307,309,23.640000000000001
02009,Almansa,24224,4804,19.829999999999998
02010,Alpera,2245,539,24.010000000000002
02011,Ayna,582,248,42.609999999999999
02012,Balazote,2388,417,17.460000000000001
02013,Balsa de Ves,126,48,38.100000000000001
02014,"Ballestero, El",427,130,30.440000000000001
02015,Barrax,1831,327,17.859999999999999
02016,Bienservida,574,166,28.920000000000002
02017,Bogarra,756,345,45.630000000000003
02018,Bonete,1006,242,24.059999999999999
02019,"Bonillo, El",2698,662,24.539999999999999
02020,Carcelén,483,190,39.340000000000003
02021,Casas de Juan Núñez,1356,288,21.239999999999998
02022,Casas de Lázaro,321,131,40.810000000000002
02023,Casas de Ves,561,199,35.469999999999999
02024,Casas-Ibáñez,4547,925,20.34
02025,Caudete,10135,1970,19.440000000000001
02026,Cenizate,1183,254,21.469999999999999
02027,Corral-Rubio,300,92,30.670000000000002
02028,Cotillas,129,38,29.460000000000001
02029,Chinchilla de Monte-Aragón,4497,681,15.140000000000001
02030,Elche de la Sierra,3553,812,22.850000000000001
02031,Férez,614,178,28.989999999999998
02032,Fuensanta,281,100,35.590000000000003
02033,Fuente-Álamo,2461,532,21.620000000000001
02034,Fuentealbilla,1821,410,22.52
02035,"Gineta, La",2568,433,16.859999999999999
02036,Golosalvo,98,42,42.859999999999999
02037,Hellín,30492,5203,17.059999999999999
02038,"Herrera, La",304,72,23.68
02039,Higueruela,1125,307,27.289999999999999
02040,Hoya-Gonzalo,561,177,31.550000000000001
02041,Jorquera,350,128,36.57
02042,Letur,901,264,29.300000000000001
02043,Lezuza,1300,367,28.23
02044,Liétor,1096,345,31.48
02045,Madrigueras,4644,1037,22.329999999999998
02046,Mahora,1430,318,22.239999999999998
02047,Masegoso,114,53,46.490000000000002
02048,Minaya,1442,419,29.059999999999999
02049,Molinicos,837,325,38.829999999999998
02050,Montalvos,88,32,36.359999999999999
02051,Montealegre del Castillo,2056,500,24.32
02052,Motilleja,660,147,22.27
02053,Munera,3422,815,23.82
02054,Navas de Jorquera,528,144,27.27
02055,Nerpio,1180,331,28.050000000000001
02056,Ontur,1934,530,27.399999999999999
02057,Ossa de Montiel,2215,563,25.420000000000002
02058,Paterna del Madera,329,119,36.170000000000002
02059,Peñascosa,323,108,33.439999999999998
02060,Peñas de San Pedro,1433,387,27.010000000000002
02061,Pétrola,663,240,36.200000000000003
02062,Povedilla,388,120,30.93
02063,Pozohondo,1569,471,30.02
02064,Pozo-Lorente,391,133,34.020000000000003
02065,Pozuelo,461,133,28.850000000000001
02066,"Recueja, La",221,89,40.270000000000003
02067,Riópar,1318,309,23.440000000000001
02068,Robledo,385,88,22.859999999999999
02069,"Roda, La",15497,2842,18.34
02070,Salobre,438,143,32.649999999999999
02071,San Pedro,1142,282,24.690000000000001
02072,Socovos,1743,489,28.059999999999999
02073,Tarazona de la Mancha,6183,1317,21.300000000000001
02074,Tobarra,7758,1607,20.710000000000001
02075,Valdeganga,1919,502,26.16
02076,Vianos,313,98,31.309999999999999
02077,Villa de Ves,60,13,21.670000000000002
02078,Villalgordo del Júcar,1072,286,26.68
02079,Villamalea,4000,842,21.050000000000001
02080,Villapalacios,555,167,30.09
02081,Villarrobledo,24886,4375,17.579999999999998
02082,Villatoya,106,34,32.079999999999998
02083,Villavaliente,202,83,41.090000000000003
02084,Villaverde de Guadalimar,321,98,30.530000000000001
02085,Viveros,335,113,33.729999999999997
02086,Yeste,2495,909,36.43
02901,Pozo Cañada,2763,585,21.170000000000002
03001,"Atzúbia, l&apos;",616,202,32.789999999999999
03002,Agost,4948,996,20.129999999999999
03003,Agres,589,146,24.789999999999999
03004,Aigües,1085,217,20
03005,Albatera,12864,1962,15.25
03006,Alcalalí,1349,557,41.289999999999999
03007,Alcosser,254,53,20.870000000000001
03008,Alcoleja,196,65,33.159999999999997
03009,Alcoy/Alcoi,58960,12768,21.66
03010,Alfafara,417,103,24.699999999999999
03011,"Alfàs del Pi, l&apos;",20668,5580,27
03012,Algorfa,3513,1171,33.329999999999998
03013,Algueña,1351,350,25.91
03014,Alicante/Alacant,338577,66388,19.609999999999999
03015,Almoradí,21401,3287,15.359999999999999
03016,Almudaina,112,45,40.18
03017,"Alqueria d&apos;Asnar, l&apos;",489,61,12.470000000000001
03018,Altea,23010,5016,21.800000000000001
03019,Aspe,21191,3710,17.510000000000002
03020,Balones,126,40,31.75
03021,Banyeres de Mariola,7201,1523,21.149999999999999
03022,Benasau,171,65,38.009999999999998
03023,Beneixama,1705,432,25.34
03024,Benejúzar,5480,1026,18.719999999999999
03025,Benferri,1955,336,17.190000000000001
03026,Beniarbeig,2267,473,20.859999999999999
03027,Beniardá,218,65,29.82
03028,Beniarrés,1078,317,29.41
03029,Benigembla,512,195,38.090000000000003
03030,Benidoleig,1232,401,32.549999999999997
03031,Benidorm,69738,15759,22.600000000000001
03032,Benifallim,106,31,29.25
03033,Benifato,139,39,28.059999999999999
03034,Benijófar,3427,1083,31.600000000000001
03035,Benilloba,740,247,33.380000000000003
03036,Benillup,108,18,16.670000000000002
03037,Benimantell,499,135,27.050000000000001
03038,Benimarfull,410,120,29.27
03039,Benimassot,93,36,38.710000000000001
03040,Benimeli,419,139,33.170000000000002
03041,Benissa,11871,3042,25.629999999999999
03042,"Benitachell/Poble Nou de Benitatxell, el",4687,1509,32.200000000000003
03043,Biar,3612,799,22.120000000000001
03044,Bigastro,7130,1112,15.6
03045,Bolulla,413,123,29.780000000000001
03046,Busot,3343,764,22.850000000000001
03047,Calp,24096,5847,24.27
03048,Callosa d&apos;en Sarrià,7653,1456,19.030000000000001
03049,Callosa de Segura,19315,3139,16.25
03050,"Campello, el",29409,6262,21.289999999999999
03051,"Campo de Mirra/Camp de Mirra, el",433,96,22.170000000000002
03052,Cañada,1191,255,21.41
03053,Castalla,11097,2121,19.109999999999999
03054,Castell de Castells,426,158,37.090000000000003
03055,Catral,8976,1720,19.16
03056,Cocentaina,11298,2489,22.030000000000001
03057,Confrides,282,92,32.619999999999997
03058,Cox,7431,1148,15.449999999999999
03059,Crevillent,29881,5162,17.280000000000001
03060,Quatretondeta,133,54,40.600000000000001
03061,Daya Nueva,1758,444,25.260000000000002
03062,Daya Vieja,683,270,39.530000000000001
03063,Dénia,43899,8802,20.050000000000001
03064,Dolores,7799,1374,17.620000000000001
03065,Elche/Elx,235580,42163,17.899999999999999
03066,Elda,52297,11535,22.059999999999999
03067,Fageca,104,39,37.5
03068,Famorca,48,26,54.170000000000002
03069,Finestrat,7909,1229,15.539999999999999
03070,Formentera del Segura,4446,968,21.77
03071,Gata de Gorgos,6364,1293,20.32
03072,Gaianes,548,122,22.260000000000002
03073,Gorga,270,71,26.300000000000001
03074,Granja de Rocamora,2626,412,15.69
03075,"Castell de Guadalest, el",258,54,20.93
03076,Guardamar del Segura,16138,3892,24.120000000000001
03077,"Fondó de les Neus, el/Hondón de las Nieves",2684,917,34.170000000000002
03078,Hondón de los Frailes,1261,489,38.780000000000001
03079,Ibi,23677,4625,19.530000000000001
03080,Jacarilla,2039,459,22.510000000000002
03081,Xaló,2931,862,29.41
03082,Jávea/Xàbia,28731,6712,23.359999999999999
03083,Jijona/Xixona,6860,1525,22.23
03084,"Lorcha/Orxa, l&apos;",565,191,33.810000000000002
03085,Llíber,967,320,33.090000000000003
03086,Millena,243,79,32.509999999999998
03088,Monforte del Cid,8619,1151,13.35
03089,Monóvar/Monòver,12387,2683,21.66
03090,Mutxamel,26192,4014,15.33
03091,Murla,540,224,41.479999999999997
03092,Muro de Alcoy,9303,1678,18.039999999999999
03093,Novelda,25592,4806,18.780000000000001
03094,"Nucia, la",18624,3205,17.210000000000001
03095,Ondara,7085,1295,18.280000000000001
03096,Onil,7580,1550,20.449999999999999
03097,Orba,2348,833,35.479999999999997
03098,Orxeta,812,180,22.170000000000002
03099,Orihuela,80784,18790,23.260000000000002
03100,Parcent,997,332,33.299999999999997
03101,Pedreguer,8280,1869,22.57
03102,Pego,10295,2671,25.940000000000001
03103,Penàguila,287,86,29.969999999999999
03104,Petrer,33978,5914,17.41
03105,"Pinós, el/Pinoso",8084,1588,19.640000000000001
03106,Planes,695,239,34.390000000000001
03107,Polop,5186,865,16.68
03109,Rafal,4634,634,13.68
03110,"Ràfol d&apos;Almúnia, el",731,232,31.739999999999998
03111,Redován,8123,1205,14.83
03112,Relleu,1171,361,30.829999999999998
03113,Rojales,16943,6520,38.479999999999997
03114,"Romana, la",2605,721,27.68
03115,Sagra,435,155,35.630000000000003
03116,Salinas,1678,365,21.75
03117,Sanet y Negrals,734,252,34.329999999999998
03118,San Fulgencio,9091,3795,41.740000000000002
03119,Sant Joan d&apos;Alacant,24450,4546,18.59
03120,San Miguel de Salinas,6659,1974,29.640000000000001
03121,Santa Pola,36174,6966,19.260000000000002
03122,San Vicente del Raspeig/Sant Vicent del Raspeig,59138,9202,15.56
03123,Sax,9988,1904,19.059999999999999
03124,Sella,592,157,26.52
03125,Senija,623,143,22.949999999999999
03127,Tàrbena,624,196,31.41
03128,Teulada,11944,3523,29.5
03129,Tibi,1731,401,23.170000000000002
03130,Tollos,30,13,43.329999999999998
03131,Tormos,332,125,37.649999999999999
03132,"Torremanzanas/Torre de les Maçanes, la",683,196,28.699999999999999
03133,Torrevieja,83547,19398,23.219999999999999
03134,"Vall d&apos;Alcalà, la",164,60,36.590000000000003
03135,"Vall d&apos;Ebo, la",219,73,33.329999999999998
03136,"Vall de Gallinera, la",579,181,31.260000000000002
03137,"Vall de Laguar, la",890,321,36.07
03138,"Verger, el",4986,1118,22.420000000000002
03139,"Villajoyosa/Vila Joiosa, la",34828,6532,18.760000000000002
03140,Villena,33969,6442,18.960000000000001
03901,"Poblets, els",2735,1025,37.479999999999997
03902,Pilar de la Horadada,22949,4881,21.27
03903,"Montesinos, Los",5217,1182,22.66
03904,San Isidro,2154,279,12.949999999999999
04001,Abla,1247,358,28.710000000000001
04002,Abrucena,1221,351,28.75
04003,Adra,25300,3744,14.800000000000001
04004,Albanchez,735,297,40.409999999999997
04005,Alboloduy,615,193,31.379999999999999
04006,Albox,12087,2449,20.260000000000002
04007,Alcolea,831,208,25.030000000000001
04008,Alcóntar,538,193,35.869999999999997
04009,Alcudia de Monteagud,133,41,30.829999999999998
04010,Alhabia,685,139,20.289999999999999
04011,Alhama de Almería,3757,718,19.109999999999999
04012,Alicún,214,57,26.640000000000001
04013,Almería,199237,34035,17.079999999999998
04014,Almócita,201,43,21.390000000000001
04015,Alsodux,129,41,31.780000000000001
04016,Antas,3339,629,18.84
04017,Arboleas,4532,1904,42.009999999999998
04018,Armuña de Almanzora,313,82,26.199999999999999
04019,Bacares,240,105,43.75
04020,Bayárcal,312,72,23.079999999999998
04021,Bayarque,226,73,32.299999999999997
04022,Bédar,1009,405,40.140000000000001
04023,Beires,138,53,38.409999999999997
04024,Benahadux,4605,582,12.640000000000001
04026,Benitagla,53,25,47.170000000000002
04027,Benizalón,253,83,32.810000000000002
04028,Bentarique,239,86,35.979999999999997
04029,Berja,12807,1935,15.109999999999999
04030,Canjáyar,1163,387,33.280000000000001
04031,Cantoria,3533,1082,30.629999999999999
04032,Carboneras,8210,1343,16.359999999999999
04033,Castro de Filabres,115,38,33.039999999999999
04034,Cóbdar,160,57,35.630000000000003
04035,Cuevas del Almanzora,14790,2410,16.289999999999999
04036,Chercos,301,83,27.57
04037,Chirivel,1511,484,32.030000000000001
04038,Dalías,4141,785,18.960000000000001
04041,Enix,554,137,24.73
04043,Felix,697,154,22.09
04044,Fines,2161,341,15.779999999999999
04045,Fiñana,1978,497,25.129999999999999
04046,Fondón,1045,251,24.02
04047,Gádor,3018,525,17.399999999999999
04048,"Gallardos, Los",2991,931,31.129999999999999
04049,Garrucha,10027,1385,13.81
04050,Gérgal,1115,224,20.09
04051,Huécija,503,118,23.460000000000001
04052,Huércal de Almería,18384,1325,7.21
04053,Huércal-Overa,20093,3619,18.010000000000002
04054,Íllar,456,114,25
04055,Instinción,467,121,25.91
04056,Laroya,200,40,20
04057,Láujar de Andarax,1587,385,24.260000000000002
04058,Líjar,383,126,32.899999999999999
04059,Lubrín,1457,558,38.299999999999997
04060,Lucainena de las Torres,595,158,26.550000000000001
04061,Lúcar,803,200,24.91
04062,Macael,5393,1030,19.100000000000001
04063,María,1228,378,30.780000000000001
04064,Mojácar,7527,2255,29.960000000000001
04065,Nacimiento,512,126,24.609999999999999
04066,Níjar,31816,3222,10.130000000000001
04067,Ohanes,551,189,34.299999999999997
04068,Olula de Castro,192,61,31.77
04069,Olula del Río,6259,1063,16.98
04070,Oria,2212,750,33.909999999999997
04071,Padules,424,153,36.079999999999998
04072,Partaloa,1003,440,43.869999999999997
04073,Paterna del Río,395,112,28.350000000000001
04074,Pechina,4224,556,13.16
04075,Pulpí,10493,1355,12.91
04076,Purchena,1550,332,21.420000000000002
04077,Rágol,288,108,37.5
04078,Rioja,1510,217,14.369999999999999
04079,Roquetas de Mar,102881,10429,10.140000000000001
04080,Santa Cruz de Marchena,219,71,32.420000000000002
04081,Santa Fe de Mondújar,476,98,20.59
04082,Senés,285,94,32.979999999999997
04083,Serón,2062,587,28.469999999999999
04084,Sierro,384,102,26.559999999999999
04085,Somontín,445,135,30.34
04086,Sorbas,2505,675,26.949999999999999
04087,Suflí,203,46,22.66
04088,Tabernas,4025,741,18.41
04089,Taberno,949,287,30.239999999999998
04090,Tahal,346,112,32.369999999999997
04091,Terque,386,112,29.02
04092,Tíjola,3520,703,19.969999999999999
04093,Turre,4067,1020,25.079999999999998
04094,Turrillas,270,70,25.93
04095,Uleila del Campo,812,253,31.16
04096,Urrácal,371,104,28.030000000000001
04097,Velefique,248,106,42.740000000000002
04098,Vélez-Blanco,1925,557,28.940000000000001
04099,Vélez-Rubio,6528,1543,23.640000000000001
04100,Vera,18224,2517,13.81
04101,Viator,6066,673,11.09
04102,Vícar,27631,2581,9.3399999999999999
04103,Zurgena,2912,1013,34.789999999999999
04901,"Tres Villas, Las",573,173,30.190000000000001
04902,"Ejido, El",87500,8901,10.17
04903,"Mojonera, La",8824,840,9.5199999999999996
04904,Balanegra,2886,355,12.300000000000001
05001,Adanero,214,73,34.109999999999999
05002,"Adrada, La",2750,583,21.199999999999999
05005,Albornos,172,52,30.23
05007,Aldeanueva de Santa Cruz,104,47,45.189999999999998
05008,Aldeaseca,217,84,38.710000000000001
05010,"Aldehuela, La",148,57,38.509999999999998
05012,Amavida,133,56,42.109999999999999
05013,"Arenal, El",938,362,38.590000000000003
05014,Arenas de San Pedro,6465,1761,27.239999999999998
05015,Arevalillo,68,27,39.710000000000001
05016,Arévalo,7884,1605,20.359999999999999
05017,Aveinte,80,31,38.75
05018,Avellaneda,27,6,22.219999999999999
05019,Ávila,57730,12269,21.25
05021,"Barco de Ávila, El",2249,600,26.68
05022,"Barraco, El",1956,554,28.32
05023,Barromán,176,60,34.090000000000003
05024,Becedas,172,85,49.420000000000002
05025,Becedillas,78,35,44.869999999999997
05026,Bercial de Zapardiel,190,83,43.68
05027,"Berlanas, Las",338,101,29.879999999999999
05029,Bernuy-Zapardiel,90,42,46.670000000000002
05030,Berrocalejo de Aragona,53,15,28.300000000000001
05033,Blascomillán,173,69,39.880000000000003
05034,Blasconuño de Matacabras,14,9,64.290000000000006
05035,Blascosancho,99,31,31.309999999999999
05036,"Bohodón, El",111,44,39.640000000000001
05037,Bohoyo,230,109,47.390000000000001
05038,Bonilla de la Sierra,124,52,41.939999999999998
05039,Brabos,41,21,51.219999999999999
05040,Bularros,59,29,49.149999999999999
05041,Burgohondo,1196,389,32.530000000000001
05042,Cabezas de Alambre,157,64,40.759999999999998
05043,Cabezas del Pozo,79,38,48.100000000000001
05044,Cabezas del Villar,244,118,48.359999999999999
05045,Cabizuela,85,34,40
05046,Canales,37,11,29.73
05047,Candeleda,5044,1302,25.809999999999999
05048,Cantiveros,97,47,48.450000000000003
05049,Cardeñosa,425,133,31.289999999999999
05051,"Carrera, La",157,66,42.039999999999999
05052,Casas del Puerto,80,41,51.25
05053,Casasola,67,45,67.159999999999997
05054,Casavieja,1418,401,28.280000000000001
05055,Casillas,649,217,33.439999999999998
05056,Castellanos de Zapardiel,90,36,40
05057,Cebreros,3213,848,26.390000000000001
05058,Cepeda la Mora,74,26,35.140000000000001
05059,Cillán,75,33,44
05060,Cisla,102,41,40.200000000000003
05061,"Colilla, La",358,62,17.32
05062,Collado de Contreras,148,60,40.539999999999999
05063,Collado del Mirón,27,17,62.960000000000001
05064,Constanzana,101,43,42.57
05065,Crespos,481,157,32.640000000000001
05066,Cuevas del Valle,523,170,32.5
05067,Chamartín,63,19,30.16
05069,Donjimeno,69,27,39.130000000000003
05070,Donvidas,30,12,40
05072,Espinosa de los Caballeros,104,28,26.920000000000002
05073,Flores de Ávila,279,108,38.710000000000001
05074,Fontiveros,719,256,35.609999999999999
05075,Fresnedilla,106,54,50.939999999999998
05076,"Fresno, El",593,129,21.75
05077,Fuente el Saúz,160,71,44.380000000000003
05078,Fuentes de Año,92,45,48.909999999999997
05079,Gallegos de Altamiros,58,23,39.659999999999997
05080,Gallegos de Sobrinos,47,21,44.68
05081,Garganta del Villar,41,17,41.460000000000001
05082,Gavilanes,573,202,35.25
05083,Gemuño,154,68,44.159999999999997
05084,Gilbuena,58,33,56.899999999999999
05085,Gil García,41,16,39.020000000000003
05086,Gimialcón,72,35,48.609999999999999
05087,Gotarrendura,174,53,30.460000000000001
05088,Grandes y San Martín,33,7,21.210000000000001
05089,Guisando,497,193,38.829999999999998
05090,Gutierre-Muñoz,63,26,41.270000000000003
05092,Hernansancho,153,54,35.289999999999999
05093,Herradón de Pinares,501,137,27.350000000000001
05094,Herreros de Suso,140,55,39.289999999999999
05095,Higuera de las Dueñas,270,80,29.629999999999999
05096,"Hija de Dios, La",86,36,41.859999999999999
05097,"Horcajada, La",482,193,40.039999999999999
05099,Horcajo de las Torres,469,172,36.670000000000002
05100,"Hornillo, El",270,109,40.369999999999997
05101,Hoyocasero,276,115,41.670000000000002
05102,"Hoyo de Pinares, El",2169,546,25.170000000000002
05103,Hoyorredondo,58,26,44.829999999999998
05104,Hoyos del Collado,29,13,44.829999999999998
05105,Hoyos del Espino,364,110,30.219999999999999
05106,Hoyos de Miguel Muñoz,25,12,48
05107,Hurtumpascual,45,22,48.890000000000001
05108,Junciana,39,17,43.590000000000003
05109,Langa,456,121,26.539999999999999
05110,Lanzahíta,819,256,31.260000000000002
05112,"Losar del Barco, El",101,27,26.73
05113,"Llanos de Tormes, Los",62,35,56.450000000000003
05114,Madrigal de las Altas Torres,1350,409,30.300000000000001
05115,Maello,669,204,30.489999999999998
05116,Malpartida de Corneja,101,61,60.399999999999999
05117,Mamblas,198,79,39.899999999999999
05118,Mancera de Arriba,70,28,40
05119,Manjabálago y Ortigosa de Rioalmar,20,15,75
05120,Marlín,29,13,44.829999999999998
05121,Martiherrero,338,70,20.710000000000001
05122,Martínez,117,63,53.850000000000001
05123,Mediana de Voltoya,116,28,24.140000000000001
05124,Medinilla,89,46,51.689999999999998
05125,Mengamuñoz,61,15,24.59
05126,Mesegar de Corneja,57,31,54.390000000000001
05127,Mijares,726,254,34.990000000000002
05128,Mingorría,385,110,28.57
05129,"Mirón, El",109,63,57.799999999999997
05130,Mironcillo,112,41,36.609999999999999
05131,Mirueña de los Infanzones,90,42,46.670000000000002
05132,Mombeltrán,933,325,34.829999999999998
05133,Monsalupe,60,26,43.329999999999998
05134,Moraleja de Matacabras,57,21,36.840000000000003
05135,Muñana,463,113,24.41
05136,Muñico,79,29,36.710000000000001
05138,Muñogalindo,309,99,32.039999999999999
05139,Muñogrande,73,32,43.840000000000003
05140,Muñomer del Peco,109,24,22.02
05141,Muñopepe,102,39,38.240000000000002
05142,Muñosancho,89,43,48.310000000000002
05143,Muñotello,56,25,44.640000000000001
05144,Narrillos del Álamo,63,26,41.270000000000003
05145,Narrillos del Rebollar,40,20,50
05147,Narros del Castillo,153,58,37.909999999999997
05148,Narros del Puerto,31,13,41.939999999999998
05149,Narros de Saldueña,106,48,45.280000000000001
05151,Navacepedilla de Corneja,91,35,38.460000000000001
05152,Nava de Arévalo,695,221,31.800000000000001
05153,Nava del Barco,87,45,51.719999999999999
05154,Navadijos,37,11,29.73
05155,Navaescurial,44,16,36.359999999999999
05156,Navahondilla,366,77,21.039999999999999
05157,Navalacruz,215,98,45.579999999999998
05158,Navalmoral,356,162,45.509999999999998
05159,Navalonguilla,205,122,59.509999999999998
05160,Navalosa,317,140,44.159999999999997
05161,Navalperal de Pinares,761,208,27.329999999999998
05162,Navalperal de Tormes,81,24,29.629999999999999
05163,Navaluenga,2136,670,31.370000000000001
05164,Navaquesera,24,9,37.5
05165,Navarredonda de Gredos,429,110,25.640000000000001
05166,Navarredondilla,156,70,44.869999999999997
05167,Navarrevisca,289,83,28.719999999999999
05168,"Navas del Marqués, Las",5268,1031,19.57
05169,Navatalgordo,238,113,47.479999999999997
05170,Navatejares,58,27,46.549999999999997
05171,Neila de San Miguel,64,34,53.130000000000003
05172,Niharra,164,46,28.050000000000001
05173,Ojos-Albos,83,30,36.140000000000001
05174,Orbita,79,25,31.649999999999999
05175,"Oso, El",144,55,38.189999999999998
05176,Padiernos,287,93,32.399999999999999
05177,Pajares de Adaja,127,49,38.579999999999998
05178,Palacios de Goda,384,125,32.549999999999997
05179,Papatrigo,230,84,36.520000000000003
05180,"Parral, El",59,36,61.020000000000003
05181,Pascualcobo,42,20,47.619999999999997
05182,Pedro Bernardo,797,343,43.039999999999999
05183,Pedro-Rodríguez,138,59,42.75
05184,Peguerinos,282,91,32.270000000000003
05185,Peñalba de Ávila,109,39,35.780000000000001
05186,Piedrahíta,1720,572,33.259999999999998
05187,Piedralaves,2123,536,25.25
05188,Poveda,43,21,48.840000000000003
05189,Poyales del Hoyo,463,166,35.850000000000001
05190,Pozanco,49,21,42.859999999999999
05191,Pradosegar,122,49,40.159999999999997
05192,Puerto Castilla,111,35,31.530000000000001
05193,Rasueros,161,85,52.799999999999997
05194,Riocabado,133,42,31.579999999999998
05195,Riofrío,194,99,51.030000000000001
05196,Rivilla de Barajas,58,15,25.859999999999999
05197,Salobral,110,36,32.729999999999997
05198,Salvadiós,74,34,45.950000000000003
05199,San Bartolomé de Béjar,47,13,27.66
05200,San Bartolomé de Corneja,38,20,52.630000000000003
05201,San Bartolomé de Pinares,510,178,34.899999999999999
05204,Sanchidrián,715,220,30.77
05205,Sanchorreja,84,31,36.899999999999999
05206,San Esteban de los Patos,20,6,30
05207,San Esteban del Valle,759,264,34.780000000000001
05208,San Esteban de Zapardiel,41,21,51.219999999999999
05209,San García de Ingelmos,67,33,49.25
05210,San Juan de la Encinilla,73,36,49.32
05211,San Juan de la Nava,443,134,30.25
05212,San Juan del Molinillo,200,88,44
05213,San Juan del Olmo,86,32,37.210000000000001
05214,San Lorenzo de Tormes,35,12,34.289999999999999
05215,San Martín de la Vega del Alberche,162,59,36.420000000000002
05216,San Martín del Pimpollar,213,72,33.799999999999997
05217,San Miguel de Corneja,55,21,38.18
05218,San Miguel de Serrezuela,106,42,39.619999999999997
05219,San Pascual,43,9,20.93
05220,San Pedro del Arroyo,452,121,26.77
05221,Santa Cruz del Valle,329,127,38.600000000000001
05222,Santa Cruz de Pinares,158,55,34.810000000000002
05224,Santa María del Arroyo,111,49,44.140000000000001
05225,Santa María del Berrocal,388,146,37.630000000000003
05226,Santa María de los Caballeros,61,27,44.259999999999998
05227,Santa María del Tiétar,499,112,22.440000000000001
05228,Santiago del Collado,171,91,53.219999999999999
05229,Santo Domingo de las Posadas,72,29,40.280000000000001
05230,Santo Tomé de Zabarcos,72,30,41.670000000000002
05231,San Vicente de Arévalo,169,55,32.539999999999999
05232,"Serrada, La",125,39,31.199999999999999
05233,Serranillos,244,89,36.479999999999997
05234,Sigeres,42,21,50
05235,Sinlabajos,148,67,45.270000000000003
05236,Solana de Ávila,110,35,31.82
05237,Solana de Rioalmar,152,58,38.159999999999997
05238,Solosancho,792,270,34.090000000000003
05239,Sotalbo,239,67,28.030000000000001
05240,Sotillo de la Adrada,4762,1003,21.059999999999999
05241,"Tiemblo, El",4373,982,22.460000000000001
05242,Tiñosillos,760,159,20.920000000000002
05243,Tolbaños,82,19,23.170000000000002
05244,Tormellas,37,24,64.859999999999999
05245,Tornadizos de Ávila,451,97,21.510000000000002
05246,Tórtoles,43,26,60.469999999999999
05247,"Torre, La",238,108,45.380000000000003
05249,Umbrías,100,24,24
05251,Vadillo de la Sierra,63,26,41.270000000000003
05252,Valdecasa,61,23,37.700000000000003
05253,Vega de Santa María,76,24,31.579999999999998
05254,Velayos,214,69,32.240000000000002
05256,Villaflor,104,44,42.310000000000002
05257,Villafranca de la Sierra,143,44,30.77
05258,Villanueva de Gómez,116,46,39.659999999999997
05259,Villanueva del Aceral,106,36,33.960000000000001
05260,Villanueva del Campillo,110,38,34.549999999999997
05261,Villar de Corneja,38,18,47.369999999999997
05262,Villarejo del Valle,322,125,38.82
