id,municipio,poblacion_total,poblacion_mayores,porcentaje_mayores
45171,"Torre de Esteban Hambrán, La",1703,413,24.25
45172,Torrico,691,257,37.189999999999998
45173,Torrijos,13678,2292,16.760000000000002
45174,Totanés,358,86,24.02
45175,Turleque,721,232,32.18
45176,Ugena,5615,539,9.5999999999999996
45177,Urda,2417,605,25.030000000000001
45179,Valdeverdeja,550,195,35.450000000000003
45180,Valmojado,4503,695,15.43
45181,Velada,2865,605,21.120000000000001
45182,"Ventas con Peña Aguilera, Las",1109,327,29.489999999999998
45183,"Ventas de Retamosa, Las",3806,399,10.48
45184,"Ventas de San Julián, Las",222,67,30.18
45185,Villacañas,9418,1901,20.18
45186,"Villa de Don Fadrique, La",3572,874,24.469999999999999
45187,Villafranca de los Caballeros,4884,1174,24.039999999999999
45188,Villaluenga de la Sagra,4081,698,17.100000000000001
45189,Villamiel de Toledo,1021,163,15.960000000000001
45190,Villaminaya,508,160,31.5
45191,Villamuelas,610,175,28.690000000000001
45192,Villanueva de Alcardete,3062,764,24.949999999999999
45193,Villanueva de Bogas,699,192,27.469999999999999
45194,Villarejo de Montalbán,75,38,50.670000000000002
45195,Villarrubia de Santiago,2509,657,26.190000000000001
45196,Villaseca de la Sagra,1864,344,18.449999999999999
45197,Villasequilla,2563,525,20.48
45198,Villatobas,2595,587,22.620000000000001
45199,"Viso de San Juan, El",5533,500,9.0399999999999991
45200,"Yébenes, Los",5752,1112,19.329999999999998
45201,Yeles,5868,690,11.76
45202,Yepes,5268,1018,19.32
45203,Yuncler,4582,560,12.220000000000001
45204,Yunclillos,806,177,21.960000000000001
45205,Yuncos,10630,1153,10.85
45901,Santo Domingo-Caudilla,1111,211,18.989999999999998
46001,Ademuz,1000,247,24.699999999999999
46002,Ador,1706,351,20.57
46003,Atzeneta d&apos;Albaida,1146,255,22.25
46004,Agullent,2361,470,19.91
46005,Alaquàs,29537,5956,20.16
46006,Albaida,5989,1193,19.920000000000002
46007,Albal,16845,2247,13.34
46008,Albalat de la Ribera,3444,684,19.859999999999999
46009,Albalat dels Sorells,4084,821,20.100000000000001
46010,Albalat dels Tarongers,1368,228,16.670000000000002
46011,Alberic,10710,1992,18.600000000000001
46012,Alborache,1328,268,20.18
46013,Alboraia/Alboraya,25149,4084,16.239999999999998
46014,Albuixech,4201,900,21.420000000000002
46015,Alcàsser,10396,1720,16.539999999999999
46016,Alcàntera de Xúquer,1427,295,20.670000000000002
46017,Alzira,45451,8432,18.550000000000001
46018,Alcublas,607,208,34.270000000000003
46019,"Alcúdia, l&apos;",12176,2236,18.359999999999999
46020,"Alcúdia de Crespins, l&apos;",5224,952,18.219999999999999
46021,Aldaia,32656,5056,15.48
46022,Alfafar,21480,4112,19.140000000000001
46023,Alfauir,479,101,21.09
46024,Alfara de la Baronia,606,137,22.609999999999999
46025,Alfara del Patriarca,3315,559,16.859999999999999
46026,Alfarp,1596,297,18.609999999999999
46027,Alfarrasí,1217,270,22.190000000000001
46028,Algar de Palancia,498,130,26.100000000000001
46029,Algemesí,27305,4993,18.289999999999999
46030,Algímia d&apos;Alfara,1106,273,24.68
46031,Alginet,14219,2456,17.27
46032,Almàssera,7482,1389,18.559999999999999
46033,Almiserà,260,67,25.77
46034,Almoines,2473,410,16.579999999999998
46035,Almussafes,8929,1593,17.84
46036,Alpuente,670,234,34.93
46037,"Alqueria de la Comtessa, l&apos;",1478,319,21.579999999999998
46038,Andilla,316,102,32.280000000000001
46039,Anna,2583,710,27.489999999999998
46040,Antella,1130,312,27.609999999999999
46041,Aras de los Olmos,380,122,32.109999999999999
46042,Aielo de Malferit,4589,794,17.300000000000001
46043,Aielo de Rugat,166,49,29.52
